protein	1/2-SBSRNA4
protein	AADAT
protein	AAGAB
protein	ACTR6
protein	ADAT2
protein	AHI1
protein	ALG3
protein	ALG5
protein	ANKS1A
protein	ARFRP1
protein	ARL3
protein	ARRDC3
protein	ASXL1
protein	ATF6B
protein	ATG16L1
protein	ATG4B
protein	ATN1
protein	ATP8B1
protein	B3GALTL
protein	BMP1
protein	BROX
protein	C10orf140
protein	C12orf26
protein	C15orf33
protein	C15orf44
protein	C16orf92
protein	C18orf25
protein	C1QTNF9B-AS1
protein	C20orf3
protein	C9orf116
protein	CALR3
protein	CCDC34
protein	CCDC85A
protein	CDC42EP2
protein	CDC73
protein	CDH23
protein	CDK10
protein	CDK13
protein	CDK2AP2
protein	CEP19
protein	CHCHD3
protein	CREB3
protein	CRIP2
protein	CSMD3
protein	CXADR
protein	CYP1B1
protein	DAGLA
protein	DCTN5
protein	DEXI
protein	DLX3
protein	DNAJC25-GNG10
protein	DNTTIP1
protein	DPH1
protein	DSTN
protein	DYNC2H1
protein	EBNA1BP2
protein	EHBP1L1
protein	EML2
protein	ERF
protein	FAM151B
protein	FAM188B
protein	FAM204A
protein	FAM212B
protein	FAM98C
protein	FANK1
protein	FBXL13
protein	FBXL14
protein	FBXL15
protein	FBXO7
protein	FLJ27352
protein	FOXJ1
protein	FOXN2
protein	FOXN3
protein	FTSJD1
protein	GCC2
protein	GLT8D1
protein	GLTP
protein	GMFB
protein	GNN
protein	GPR107
protein	GSG1
protein	HAPLN1
protein	HDDC3
protein	HEXDC
protein	HIPK1
protein	HIRA
protein	HMGN2
protein	HNRNPUL2-BSCL2
protein	HSD11B1L
protein	HYDIN
protein	IFT81
protein	JARID2
protein	JKAMP
protein	KBTBD4
protein	KIAA1199
protein	KIAA1267
protein	KIF24
protein	KIF27
protein	KLHL18
protein	KRIT1
protein	LCA5L
protein	LINC00487
protein	LMBRD1
protein	LMX1B
protein	LOC100128822
protein	LOC100130275
protein	LOC100130987
protein	LOC100287482
protein	LOC100289019
protein	LOC100294362
protein	LOC145845
protein	LOC284837
protein	LOC285548
protein	LOC340037
protein	LOC440461
protein	LOC642852
protein	LOC645431
protein	LOC646719
protein	LOC730668
protein	LRRC27
protein	LRRC6
protein	LYRM5
protein	MARK3
protein	MEIS2
protein	MIR3652
protein	MIR4678
protein	MIR663A
protein	MORN1
protein	MORN2
protein	MORN3
protein	MORN4
protein	MRPL24
protein	MRPS2
protein	MTX1
protein	NBEAL2
protein	NDUFC2-KCTD14
protein	NEURL3
protein	NUDT3
protein	OPTN
protein	ORAI2
protein	ORAI3
protein	OVCA2
protein	PBX2
protein	PCID2
protein	PDE4DIP
protein	PDSS1
protein	PEX13
protein	PEX14
protein	PHF23
protein	PIGG
protein	PIKFYVE
protein	PLCD3
protein	PLEKHJ1
protein	POC1B-GALNT4
protein	PPAN
protein	PPAN-P2RY11
protein	PPP1R21
protein	PTCD1
protein	PTK6
protein	RAD54L
protein	RFK
protein	RFX2
protein	RHBDD2
protein	RIF1
protein	RPP38
protein	RSRC1
protein	SCNM1
protein	SCNN1G
protein	SFXN2
protein	SIPA1L3
protein	SLC38A2
protein	SLC44A2
protein	SPG21
protein	SPICE1
protein	SREK1
protein	SRFBP1
protein	SSX2IP
protein	STK35
protein	STK4
protein	STX16-NPEPL1
protein	TBC1D5
protein	TCTEX1D2
protein	TMEM127
protein	TNRC18
protein	TOB1
protein	TPD52L2
protein	TRAPPC3
protein	TRAPPC9
protein	TSC22D4
protein	TSGA10
protein	TSPAN16
protein	TTLL1
protein	TUG1
protein	TXNL1
protein	U2SURP
protein	UNC45A
protein	USP19
protein	VAMP4
protein	VPS13D
protein	WDR18
protein	WDR54
protein	WDR90
protein	YBX2
protein	ZBTB7B
protein	ZFAT
protein	ZFP36L2
protein	ZNF277
protein	ZNF324B
protein	ZNF384
protein	ZNF497
protein	ZNF594
protein	ZNF605
protein	ZNF697
protein	UBE2Q1
complex	TRAF6/hp-IRAK1/or_p-IRAK2_/p-IRAK4/oligo-MyD88_/Mal/activated_TLR_(complex)
protein	UBE2Q2
complex	Oxytocin/Oxytocin_receptor_(complex)
family	GAD1_activity_(family)
complex	Relaxin-3_receptor_1/Relaxin-3_(complex)
complex	Aurora_A/PP2A_(complex)
complex	NCAM-1/Major_prion_protein_(complex)
family	Sialyl_Tn_antigens_(family)
complex	BMP7/BMPR2/BMPR1A-1B/FS_(complex)
family	Plexin-A_(1-4)_(family)
complex	TERT(+1)/hTR_RNA_(complex)
family	Opioid_peptide_(family)
family	Biogenic_amines_transported_by_VMAT1/2_(family)
complex	FASLG/FAS_(trimer)/Btk_(complex)
protein	ZNF708
complex	Sema7A/Plexin-C1_(complex)
complex	RET51/GFRalpha1/GDNF/Dok4_(complex)
protein	DEPDC7-2
complex	Shelterin_Complex_(complex)
protein	SPR
family	Kv12_subunit_of_voltage_gated_potassium_channels_(family)
protein	CAMK4
protein	Rpn7
complex	Beta_defensin_103/TLR1/TLR2_(complex)
protein	PKLR-2
complex	VEGFA206_(dimer)_(complex)
complex	EGF_R/SRC_(complex)
protein	SPN
protein	RNF111
protein	GRIN1
complex	TLR2/TLR6_activating_compounds/TLR2/TLR6/MYD88/IRAK/CD14_(complex)
complex	SL1_(complex)
protein	DHX9
complex	Activated_PKC_beta_(complex)
protein	GRK5-GRK6
complex	betaPIX/CDC42/GTP/CBL_(complex)
complex	TLR10_homodimer_bound_to_ligand_(complex)
protein	XPC
protein	SP1
protein	XPA
protein	SP3
protein	NUP93
protein	SP5
family	Proghrelin_and_Pro-des-Gln14-ghrelin_(family)
complex	HIV-1_transcription_complex_containing_extruded_transcript_to_+30_(complex)
complex	IFNA/B/IFNAR2/p-JAK1/STAT2_(complex)
abstract	Osteosarcoma_(abstract)
complex	NT/GPCR/g-alpha/g-beta/g-gamma_(complex)
complex	p300/CBP/Pitx2_(complex)
complex	Procollagen_type_I_(complex)
complex	KRAB-ZNF_/_KAP_Complex_(complex)
complex	MRN_complex/ATM/MDC1/H2AX/RNF8/53BP1/BRCA1/ABRA1/RAP80_(complex)
complex	APC/C_(complex)
protein	COL7A1
complex	glycogen-glycogenin-1_dimer_(complex)
complex	IL2/IL2R_alpha/beta/gamma/JAK1/LCK/JAK3/IRS1-2/PI3K_(complex)
complex	Trimeric_palmitylated_HA_(complex)
complex	BMP_type_II_receptor_dimer_(complex)
family	Basigin-binding_integrins_(family)
family	Melanocyte_stimulating_hormone_(family)
complex	mTORC1_complex_(complex)
complex	eNOS/Caveolin-1_(complex)
complex	Importin-beta/Ran_GTP_complex_(complex)
protein	ITGA8
protein	ITGA9
protein	UGCG
complex	IL2/IL2R_alpha/beta/gamma/JAK1/LCK/JAK3/PYK2_(complex)
protein	ITGA1
protein	ITGA2
protein	ITGA3
protein	ITGA4
protein	ITGA5
protein	ITGA6
protein	ITGA7
protein	TRHR
complex	Dimers_of_ligand-responsive_p-6Y-EGFR_mutants_(complex)
complex	POL_Delta/APE1-bound_5prime_incised_DNA_strand_break_containing_first_resynthesized_nucleotide_(complex)
protein	PREB
complex	EGF/Ligand-responsive_EGFR_mutants_resistant_to_non-covalent_TKIs/HSP90/CDC37_(complex)
family	Phosphorylated_ERBB2/ERBB4cyt2_heterodimers_(family)
complex	RNA_primer-DNA_primer/origin_duplex/PCNA_(complex)
protein	GAP43
complex	AP-1/Ets1/Ets2_(complex)
complex	SIN3/HDAC_complex/NCoR1_(complex)
family	IFN-gamma_upregulated_CAMs_(family)
complex	RAD50/MRE11_complex_(complex)
complex	S1P-binding_EDG_receptors/_S1P_(complex)
complex	Phycoerythrin/CD2/CD3Z_antigen_zeta_polypeptide_(complex)
complex	beta_catenin/APC/CtBP_(complex)
protein	HRH4
protein	HRH2
protein	HRH3
protein	HRH1
complex	NEPH1/p-Nephrin/Fyn/NCK/N-WASP_(complex)
complex	VEGFR1_homodimer/NRP1/VEGFR_121_(complex)
complex	GRB2/SOS1/p-Y349350-SHC1/p-ERBB4_(complex)
complex	FGFR4/FGF4_(complex)
complex	Tie2/Ang1/Shc_(complex)
complex	RAF1/14-3-3_E_(complex)
complex	RAB11FIP3/RAB11A_(complex)
protein	GRP
complex	ATPase_complex_(complex)
complex	MHC_II/TCR-CD3_(complex)
complex	p(Y705)-STAT3_dimer_(complex)
complex	PDGF/Phospho-PDGF_receptor_dimer/Crk_(complex)
complex	Mature_intronless_transcript_derived_Histone_mRNA/SLBP/eIF4E_Complex_(complex)
complex	p-S1177-eNOS_dimer_(complex)
protein	COL4A6
protein	COL4A5
protein	COL4A4
protein	COL4A3
protein	COL4A2
protein	COL4A1
complex	EGF/Phospho-EGFR-GRB2/GAB1/PI3Kreg_(complex)
complex	RNA_Polymerase_I/rRNATranscript/TTF-1/Sal_Box_Complex_(complex)
complex	Ligand/GPCR_complexes_that_activate_Gi/Heterotrimeric_G-protein_Gi_(active)_(complex)
complex	TRAF6/p-IRAK2_(complex)
protein	ITGAX
protein	OR8J1
complex	RPA/RAD17/RFC2-5_(complex)
family	Phospho(S363S380T573)-ribosomal_S6_kinase_(family)
protein	BCL2A1
complex	VEGFA145_(dimer)_(complex)
complex	VAV2_Rho/Rac_effectors/GDP_(complex)
protein	NOG
complex	HIF1A/ARNT_(complex)
protein	ITGAV
complex	ARF1/GTP/ARHGAP10_(complex)
complex	RAD51/RPA_complex_(complex)
protein	ITGAL
protein	ITGAM
complex	Meiotic_Single-stranded_DNA_Complex_(complex)
complex	Rev-bound_HIV-1_mRNA_(complex)
complex	CABIN1/MEF2D/CaM/Ca2+/CAMK_IV_(complex)
complex	RET51/GFRalpha1/GDNF/GRB10_(complex)
complex	Activated_Growth_Hormone_Receptor/p(Y1007)-JAK2_(complex)
protein	ITGAD
protein	ITGAE
protein	SMAD8
protein	SMAD9
protein	LRPAP1
protein	SMAD5
protein	SMAD6
protein	SMAD7
family	phospho_MKK4/_phospho_MKK7_(family)
protein	SMAD1
protein	SMAD2
protein	SMAD3
complex	Cyclin_A/Cdk2/p21/p27_complex_(complex)
complex	ATF6-alpha/BiP_(complex)
family	Troponin_C_(family)
complex	HNF1A/HNF1B_(complex)
complex	VEGFR2/3_(dimer)/VEGFA_(dimer)/NRP2_(complex)
complex	NFAT1-c-4/YWHAQ_(complex)
complex	IL18/IL18R_(complex)
protein	IGF2R
complex	DNA_polymerase_epsilon/G-strand_extended_telomere_end_(complex)
family	Presenilin_(family)
family	Phosphodiesterase_7_(family)
complex	Plexin-B1/Met_(complex)
complex	Secreted_Klotho_homodimer_(complex)
complex	TLR4_ligand_bound_to_the_signal-competent_TLR4_complex_(complex)
complex	alpha6/beta1_Integrin/Laminin_(complex)
protein	CKS1B
complex	PRDM4/Histone_deacetylase_(complex)
complex	Integrin_alphaVbeta3/Tenascin_(complex)
complex	insulin/insulin_receptor_(complex)
